id,title,category,description,price,stock,brand,weight
16,Apple,groceries,"Fresh and crisp apples, perfect for snacking or incorporating into various recipes.",1.99,9,,8.0
17,Beef Steak,groceries,"High-quality beef steak, great for grilling or cooking to your preferred level of doneness.",12.99,96,,9.0
18,Cat Food,groceries,Nutritious cat food formulated to meet the dietary needs of your feline friend.,8.99,13,,9.0
19,Chicken Meat,groceries,"Fresh and tender chicken meat, suitable for various culinary preparations.",9.99,69,,7.0
20,Cooking Oil,groceries,"Versatile cooking oil suitable for frying, sautéing, and various culinary applications.",4.99,22,,8.0
21,Cucumber,groceries,"Crisp and hydrating cucumbers, ideal for salads, snacks, or as a refreshing side.",1.49,22,,9.0
22,Dog Food,groceries,Specially formulated dog food designed to provide essential nutrients for your canine companion.,10.99,40,,2.0
23,Eggs,groceries,"Fresh eggs, a versatile ingredient for baking, cooking, or breakfast.",2.99,10,,4.0
24,Fish Steak,groceries,"Quality fish steak, suitable for grilling, baking, or pan-searing.",14.99,99,,8.0
25,Green Bell Pepper,groceries,"Fresh and vibrant green bell pepper, perfect for adding color and flavor to your dishes.",1.29,89,,7.0
26,Green Chili Pepper,groceries,"Spicy green chili pepper, ideal for adding heat to your favorite recipes.",0.99,8,,2.0
27,Honey Jar,groceries,"Pure and natural honey in a convenient jar, perfect for sweetening beverages or drizzling over food.",6.99,25,,9.0
28,Ice Cream,groceries,"Creamy and delicious ice cream, available in various flavors for a delightful treat.",5.49,76,,5.0
29,Juice,groceries,"Refreshing fruit juice, packed with vitamins and great for staying hydrated.",3.99,99,,2.0
30,Kiwi,groceries,"Nutrient-rich kiwi, perfect for snacking or adding a tropical twist to your dishes.",2.49,1,,8.0
31,Lemon,groceries,"Zesty and tangy lemons, versatile for cooking, baking, or making refreshing beverages.",0.79,0,,10.0
32,Milk,groceries,"Fresh and nutritious milk, a staple for various recipes and daily consumption.",3.49,57,,1.0
33,Mulberry,groceries,"Sweet and juicy mulberries, perfect for snacking or adding to desserts and cereals.",4.99,79,,4.0
34,Nescafe Coffee,groceries,"Quality coffee from Nescafe, available in various blends for a rich and satisfying cup.",7.99,22,,9.0
35,Potatoes,groceries,"Versatile and starchy potatoes, great for roasting, mashing, or as a side dish.",2.29,8,,9.0
36,Protein Powder,groceries,"Nutrient-packed protein powder, ideal for supplementing your diet with essential proteins.",19.99,65,,2.0
37,Red Onions,groceries,"Flavorful and aromatic red onions, perfect for adding depth to your savory dishes.",1.99,86,,2.0
38,Rice,groceries,"High-quality rice, a staple for various cuisines and a versatile base for many dishes.",5.99,49,,1.0
39,Soft Drinks,groceries,"Assorted soft drinks in various flavors, perfect for refreshing beverages.",1.99,78,,9.0
